	type	dist	accuracy	time	splits
0	scaled quorum	9x	1.0	5519	False
1	scaled quorum	9x	1.0	5344	False
2	scaled quorum	9x	1.0	5550	False
3	scaled quorum	9x	1.0	3514	False
4	scaled quorum	9x	1.0	5438	False
5	scaled quorum	9x	1.0	4753	False
6	scaled quorum	9x	1.0	3098	False
7	scaled quorum	9x	1.0	2142	False
8	scaled quorum	9x	1.0	5243	False
9	scaled quorum	9x	1.0	2592	False
10	scaled quorum	9x	1.0	5185	False
11	scaled quorum	9x	1.0	5213	False
12	scaled quorum	9x	1.0	5657	False
13	scaled quorum	9x	0.0	3109	False
14	scaled quorum	9x	1.0	3930	False
15	scaled quorum	9x	1.0	5181	False
16	scaled quorum	9x	1.0	4519	False
17	scaled quorum	9x	1.0	3140	False
18	scaled quorum	9x	1.0	5307	False
19	scaled quorum	9x	1.0	5511	False
20	scaled quorum	9x	1.0	6621	False
21	scaled quorum	9x	1.0	4792	False
22	scaled quorum	9x	1.0	5020	False
23	scaled quorum	9x	1.0	5496	False
24	scaled quorum	9x	0.0	2110	False
25	scaled quorum	9x	1.0	4943	False
26	scaled quorum	9x	1.0	4162	False
27	scaled quorum	9x	1.0	6220	False
28	scaled quorum	9x	1.0	3102	False
29	scaled quorum	9x	1.0	3929	False
30	scaled quorum	9x	1.0	3742	False
31	scaled quorum	9x	0.0	2377	False
32	scaled quorum	9x	1.0	5235	False
33	scaled quorum	9x	1.0	5082	False
34	scaled quorum	9x	1.0	3203	False
35	scaled quorum	9x	1.0	4788	False
36	scaled quorum	9x	0.0	2854	False
37	scaled quorum	9x	1.0	5257	False
38	scaled quorum	9x	1.0	4322	False
39	scaled quorum	9x	1.0	3106	False
40	scaled quorum	9x	1.0	3036	False
41	scaled quorum	9x	0.0	2058	False
42	scaled quorum	9x	1.0	3384	False
43	scaled quorum	9x	1.0	3176	False
44	scaled quorum	9x	0.08	2689	True
45	scaled quorum	9x	0.0	2901	False
46	scaled quorum	9x	1.0	2406	False
47	scaled quorum	9x	1.0	4093	False
48	scaled quorum	9x	1.0	3444	False
49	scaled quorum	9x	0.0	2268	False
50	scaled quorum	9x	1.0	2832	False
51	scaled quorum	9x	0.0	4627	False
52	scaled quorum	9x	1.0	3914	False
53	scaled quorum	9x	1.0	3890	False
54	scaled quorum	9x	0.0	3963	False
55	scaled quorum	9x	1.0	2461	False
56	scaled quorum	9x	1.0	3737	False
57	scaled quorum	9x	1.0	4756	False
58	scaled quorum	9x	1.0	1930	False
59	scaled quorum	9x	0.0	5686	False
60	scaled quorum	9x	1.0	3091	False
61	scaled quorum	9x	1.0	4520	False
62	scaled quorum	9x	1.0	4245	False
63	scaled quorum	9x	1.0	2912	False
64	scaled quorum	9x	0.0	3146	False
65	scaled quorum	9x	1.0	2638	False
66	scaled quorum	9x	1.0	4582	False
67	scaled quorum	9x	1.0	4288	False
68	scaled quorum	9x	0.0	1872	False
69	scaled quorum	9x	1.0	4073	False
70	scaled quorum	9x	1.0	5486	False
71	scaled quorum	9x	1.0	4512	False
72	scaled quorum	9x	1.0	2745	False
73	scaled quorum	9x	1.0	3480	False
74	scaled quorum	9x	1.0	3170	False
75	scaled quorum	9x	0.0	3226	False
76	scaled quorum	9x	1.0	5280	False
77	scaled quorum	9x	1.0	4135	False
78	scaled quorum	9x	0.0	2652	False
79	scaled quorum	9x	1.0	3225	False
80	scaled quorum	9x	1.0	4576	False
81	scaled quorum	9x	1.0	4993	False
82	scaled quorum	9x	0.07	4323	True
83	scaled quorum	9x	1.0	4720	False
84	scaled quorum	9x	0.0	2978	False
85	scaled quorum	9x	1.0	6776	False
86	scaled quorum	9x	0.0	2705	False
87	scaled quorum	9x	0.0	2453	False
88	scaled quorum	9x	1.0	4707	False
89	scaled quorum	9x	0.0	2368	False
90	scaled quorum	9x	1.0	3717	False
91	scaled quorum	9x	1.0	2753	False
92	scaled quorum	9x	1.0	5254	False
93	scaled quorum	9x	1.0	7191	False
94	scaled quorum	9x	1.0	3159	False
95	scaled quorum	9x	1.0	3441	False
96	scaled quorum	9x	1.0	4523	False
97	scaled quorum	9x	1.0	3424	False
98	scaled quorum	9x	1.0	3926	False
99	scaled quorum	9x	1.0	4345	False
