	type	dist	accuracy	time	splits
0	fixed quorum	3x	1.0	1254	False
1	fixed quorum	3x	1.0	2061	False
2	fixed quorum	3x	1.0	2260	False
3	fixed quorum	3x	1.0	1965	False
4	fixed quorum	3x	1.0	1311	False
5	fixed quorum	3x	1.0	2733	False
6	fixed quorum	3x	1.0	1210	False
7	fixed quorum	3x	1.0	1842	False
8	fixed quorum	3x	1.0	1757	False
9	fixed quorum	3x	1.0	1570	False
10	fixed quorum	3x	1.0	2027	False
11	fixed quorum	3x	1.0	1859	False
12	fixed quorum	3x	1.0	1528	False
13	fixed quorum	3x	1.0	1371	False
14	fixed quorum	3x	1.0	2445	False
15	fixed quorum	3x	1.0	1908	False
16	fixed quorum	3x	1.0	923	False
17	fixed quorum	3x	1.0	1692	False
18	fixed quorum	3x	1.0	1282	False
19	fixed quorum	3x	1.0	1444	False
20	fixed quorum	3x	1.0	1646	False
21	fixed quorum	3x	1.0	2287	False
22	fixed quorum	3x	1.0	2242	False
23	fixed quorum	3x	1.0	2130	False
24	fixed quorum	3x	1.0	2399	False
25	fixed quorum	3x	1.0	2126	False
26	fixed quorum	3x	1.0	1979	False
27	fixed quorum	3x	1.0	1629	False
28	fixed quorum	3x	1.0	1422	False
29	fixed quorum	3x	1.0	954	False
30	fixed quorum	3x	1.0	669	False
31	fixed quorum	3x	1.0	2116	False
32	fixed quorum	3x	1.0	1208	False
33	fixed quorum	3x	1.0	787	False
34	fixed quorum	3x	1.0	2118	False
35	fixed quorum	3x	1.0	1873	False
36	fixed quorum	3x	1.0	1668	False
37	fixed quorum	3x	1.0	1807	False
38	fixed quorum	3x	1.0	2594	False
39	fixed quorum	3x	1.0	1980	False
40	fixed quorum	3x	1.0	1584	False
41	fixed quorum	3x	1.0	2137	False
42	fixed quorum	3x	1.0	2165	False
43	fixed quorum	3x	1.0	1313	False
44	fixed quorum	3x	1.0	1303	False
45	fixed quorum	3x	1.0	1865	False
46	fixed quorum	3x	1.0	2674	False
47	fixed quorum	3x	1.0	1535	False
48	fixed quorum	3x	1.0	1972	False
49	fixed quorum	3x	1.0	1428	False
50	fixed quorum	3x	1.0	1592	False
51	fixed quorum	3x	1.0	1934	False
52	fixed quorum	3x	1.0	1249	False
53	fixed quorum	3x	1.0	1412	False
54	fixed quorum	3x	1.0	1263	False
55	fixed quorum	3x	1.0	1460	False
56	fixed quorum	3x	1.0	1700	False
57	fixed quorum	3x	1.0	1388	False
58	fixed quorum	3x	1.0	2202	False
59	fixed quorum	3x	1.0	1762	False
60	fixed quorum	3x	1.0	1113	False
61	fixed quorum	3x	1.0	2322	False
62	fixed quorum	3x	1.0	2124	False
63	fixed quorum	3x	1.0	1733	False
64	fixed quorum	3x	1.0	1500	False
65	fixed quorum	3x	1.0	1923	False
66	fixed quorum	3x	1.0	2187	False
67	fixed quorum	3x	1.0	1537	False
68	fixed quorum	3x	1.0	1421	False
69	fixed quorum	3x	1.0	1347	False
70	fixed quorum	3x	1.0	1551	False
71	fixed quorum	3x	1.0	1828	False
72	fixed quorum	3x	1.0	2758	False
73	fixed quorum	3x	1.0	2595	False
74	fixed quorum	3x	1.0	1804	False
75	fixed quorum	3x	1.0	1918	False
76	fixed quorum	3x	1.0	1474	False
77	fixed quorum	3x	1.0	1088	False
78	fixed quorum	3x	1.0	2476	False
79	fixed quorum	3x	1.0	1418	False
80	fixed quorum	3x	1.0	1319	False
81	fixed quorum	3x	1.0	2303	False
82	fixed quorum	3x	1.0	2732	False
83	fixed quorum	3x	1.0	1492	False
84	fixed quorum	3x	1.0	1476	False
85	fixed quorum	3x	1.0	1055	False
86	fixed quorum	3x	1.0	2576	False
87	fixed quorum	3x	1.0	1988	False
88	fixed quorum	3x	1.0	2453	False
89	fixed quorum	3x	1.0	4314	False
90	fixed quorum	3x	1.0	2230	False
91	fixed quorum	3x	1.0	1131	False
92	fixed quorum	3x	1.0	1612	False
93	fixed quorum	3x	1.0	1893	False
94	fixed quorum	3x	1.0	1916	False
95	fixed quorum	3x	1.0	2184	False
96	fixed quorum	3x	1.0	1129	False
97	fixed quorum	3x	1.0	977	False
98	fixed quorum	3x	1.0	9632	False
99	fixed quorum	3x	1.0	1488	False
