	type	dist	accuracy	time	splits
0	fixed quorum	8x	0.0	3171	False
1	fixed quorum	8x	0.0	1561	False
2	fixed quorum	8x	0.0	5123	False
3	fixed quorum	8x	1.0	1898	False
4	fixed quorum	8x	0.0	2545	False
5	fixed quorum	8x	1.0	5383	False
6	fixed quorum	8x	1.0	4551	False
7	fixed quorum	8x	1.0	3942	False
8	fixed quorum	8x	0.0	1821	False
9	fixed quorum	8x	0.0	2320	False
10	fixed quorum	8x	1.0	4496	False
11	fixed quorum	8x	1.0	5971	False
12	fixed quorum	8x	0.0	1552	False
13	fixed quorum	8x	0.0	1973	False
14	fixed quorum	8x	1.0	2901	False
15	fixed quorum	8x	0.0	1684	False
16	fixed quorum	8x	0.0	1788	False
17	fixed quorum	8x	0.11	4073	True
18	fixed quorum	8x	0.0	3406	False
19	fixed quorum	8x	1.0	4781	False
20	fixed quorum	8x	0.0	1588	False
21	fixed quorum	8x	0.0	938	False
22	fixed quorum	8x	0.0	2011	False
23	fixed quorum	8x	0.0	1783	False
24	fixed quorum	8x	0.0	3701	False
25	fixed quorum	8x	0.0	1574	False
26	fixed quorum	8x	1.0	4882	False
27	fixed quorum	8x	1.0	3085	False
28	fixed quorum	8x	0.0	3590	False
29	fixed quorum	8x	0.0	2292	False
30	fixed quorum	8x	0.0	2643	False
31	fixed quorum	8x	0.0	997	False
32	fixed quorum	8x	0.0	2699	False
33	fixed quorum	8x	1.0	4232	False
34	fixed quorum	8x	1.0	2477	False
35	fixed quorum	8x	0.0	1775	False
36	fixed quorum	8x	0.0	1577	False
37	fixed quorum	8x	0.0	1661	False
38	fixed quorum	8x	0.0	3445	False
39	fixed quorum	8x	1.0	4199	False
40	fixed quorum	8x	1.0	4208	False
41	fixed quorum	8x	0.0	2014	False
42	fixed quorum	8x	0.0	1536	False
43	fixed quorum	8x	1.0	4546	False
44	fixed quorum	8x	1.0	3930	False
45	fixed quorum	8x	0.0	1503	False
46	fixed quorum	8x	0.0	1892	False
47	fixed quorum	8x	0.0	1857	False
48	fixed quorum	8x	1.0	5335	False
49	fixed quorum	8x	0.09	4083	True
50	fixed quorum	8x	0.0	1134	False
51	fixed quorum	8x	0.0	2749	False
52	fixed quorum	8x	0.0	887	False
53	fixed quorum	8x	0.0	1943	False
54	fixed quorum	8x	0.0	1672	False
55	fixed quorum	8x	0.0	1331	False
56	fixed quorum	8x	1.0	4982	False
57	fixed quorum	8x	1.0	3596	False
58	fixed quorum	8x	1.0	3713	False
59	fixed quorum	8x	0.0	2102	False
60	fixed quorum	8x	1.0	3040	False
61	fixed quorum	8x	1.0	3337	False
62	fixed quorum	8x	0.0	1599	False
63	fixed quorum	8x	0.0	1288	False
64	fixed quorum	8x	1.0	3464	False
65	fixed quorum	8x	1.0	4911	False
66	fixed quorum	8x	1.0	4215	False
67	fixed quorum	8x	0.0	4074	False
68	fixed quorum	8x	0.0	1291	False
69	fixed quorum	8x	0.0	1505	False
70	fixed quorum	8x	1.0	4401	False
71	fixed quorum	8x	0.0	1063	False
72	fixed quorum	8x	1.0	3760	False
73	fixed quorum	8x	1.0	1676	False
74	fixed quorum	8x	0.0	3491	False
75	fixed quorum	8x	0.0	1677	False
76	fixed quorum	8x	0.0	1375	False
77	fixed quorum	8x	0.0	1619	False
78	fixed quorum	8x	1.0	5693	False
79	fixed quorum	8x	0.0	621	False
80	fixed quorum	8x	0.0	814	False
81	fixed quorum	8x	0.0	1584	False
82	fixed quorum	8x	1.0	3706	False
83	fixed quorum	8x	0.0	2064	False
84	fixed quorum	8x	0.0	1396	False
85	fixed quorum	8x	1.0	4351	False
86	fixed quorum	8x	0.0	2792	False
87	fixed quorum	8x	1.0	5179	False
88	fixed quorum	8x	0.08	3085	True
89	fixed quorum	8x	0.0	1869	False
90	fixed quorum	8x	0.0	1616	False
91	fixed quorum	8x	0.0	2617	False
92	fixed quorum	8x	0.0	2308	False
93	fixed quorum	8x	0.0	2408	False
94	fixed quorum	8x	0.0	2654	False
95	fixed quorum	8x	1.0	5663	False
96	fixed quorum	8x	0.0	3505	False
97	fixed quorum	8x	0.0	1884	False
98	fixed quorum	8x	1.0	6033	False
99	fixed quorum	8x	0.0	2547	False
