	type	dist	accuracy	time	splits
0	fixed quorum	8x	1.0	3976	False
1	fixed quorum	8x	1.0	2749	False
2	fixed quorum	8x	1.0	3411	False
3	fixed quorum	8x	1.0	4162	False
4	fixed quorum	8x	1.0	3781	False
5	fixed quorum	8x	1.0	3627	False
6	fixed quorum	8x	0.0	1583	False
7	fixed quorum	8x	1.0	2302	False
8	fixed quorum	8x	1.0	3814	False
9	fixed quorum	8x	1.0	4016	False
10	fixed quorum	8x	1.0	3460	False
11	fixed quorum	8x	1.0	4793	False
12	fixed quorum	8x	1.0	3068	False
13	fixed quorum	8x	1.0	3769	False
14	fixed quorum	8x	1.0	4782	False
15	fixed quorum	8x	1.0	3565	False
16	fixed quorum	8x	1.0	4212	False
17	fixed quorum	8x	1.0	4936	False
18	fixed quorum	8x	1.0	5909	False
19	fixed quorum	8x	0.0	2243	False
20	fixed quorum	8x	0.0	1243	False
21	fixed quorum	8x	1.0	2507	False
22	fixed quorum	8x	1.0	5535	False
23	fixed quorum	8x	1.0	3272	False
24	fixed quorum	8x	1.0	5029	False
25	fixed quorum	8x	1.0	4496	False
26	fixed quorum	8x	1.0	4688	False
27	fixed quorum	8x	1.0	2079	False
28	fixed quorum	8x	0.0	2824	False
29	fixed quorum	8x	1.0	4489	False
30	fixed quorum	8x	0.0	2153	False
31	fixed quorum	8x	0.0	1732	False
32	fixed quorum	8x	1.0	6711	False
33	fixed quorum	8x	1.0	4331	False
34	fixed quorum	8x	1.0	5742	False
35	fixed quorum	8x	1.0	3896	False
36	fixed quorum	8x	1.0	5034	False
37	fixed quorum	8x	1.0	3000	False
38	fixed quorum	8x	1.0	4504	False
39	fixed quorum	8x	1.0	4272	False
40	fixed quorum	8x	1.0	4807	False
41	fixed quorum	8x	0.0	1227	False
42	fixed quorum	8x	1.0	4019	False
43	fixed quorum	8x	1.0	3408	False
44	fixed quorum	8x	1.0	5726	False
45	fixed quorum	8x	1.0	5277	False
46	fixed quorum	8x	1.0	5565	False
47	fixed quorum	8x	1.0	4007	False
48	fixed quorum	8x	0.0	1703	False
49	fixed quorum	8x	1.0	5192	False
50	fixed quorum	8x	1.0	2943	False
51	fixed quorum	8x	1.0	1786	False
52	fixed quorum	8x	1.0	1541	False
53	fixed quorum	8x	1.0	5727	False
54	fixed quorum	8x	1.0	4491	False
55	fixed quorum	8x	1.0	4810	False
56	fixed quorum	8x	1.0	3606	False
57	fixed quorum	8x	1.0	4669	False
58	fixed quorum	8x	1.0	3220	False
59	fixed quorum	8x	1.0	5655	False
60	fixed quorum	8x	1.0	3225	False
61	fixed quorum	8x	1.0	4431	False
62	fixed quorum	8x	1.0	3864	False
63	fixed quorum	8x	1.0	4074	False
64	fixed quorum	8x	0.0	1848	False
65	fixed quorum	8x	1.0	4521	False
66	fixed quorum	8x	1.0	2837	False
67	fixed quorum	8x	0.0	1436	False
68	fixed quorum	8x	1.0	5516	False
69	fixed quorum	8x	1.0	3883	False
70	fixed quorum	8x	1.0	5171	False
71	fixed quorum	8x	1.0	5215	False
72	fixed quorum	8x	1.0	2981	False
73	fixed quorum	8x	1.0	3946	False
74	fixed quorum	8x	1.0	2973	False
75	fixed quorum	8x	1.0	3941	False
76	fixed quorum	8x	1.0	3285	False
77	fixed quorum	8x	1.0	5095	False
78	fixed quorum	8x	1.0	4115	False
79	fixed quorum	8x	1.0	3969	False
80	fixed quorum	8x	1.0	2837	False
81	fixed quorum	8x	1.0	4477	False
82	fixed quorum	8x	1.0	1880	False
83	fixed quorum	8x	1.0	4036	False
84	fixed quorum	8x	1.0	4075	False
85	fixed quorum	8x	0.0	2012	False
86	fixed quorum	8x	0.0	1702	False
87	fixed quorum	8x	1.0	4252	False
88	fixed quorum	8x	1.0	3368	False
89	fixed quorum	8x	1.0	3411	False
90	fixed quorum	8x	1.0	5107	False
91	fixed quorum	8x	1.0	2614	False
92	fixed quorum	8x	1.0	3466	False
93	fixed quorum	8x	1.0	5008	False
94	fixed quorum	8x	1.0	4272	False
95	fixed quorum	8x	1.0	3730	False
96	fixed quorum	8x	1.0	3955	False
97	fixed quorum	8x	1.0	5348	False
98	fixed quorum	8x	1.0	3002	False
99	fixed quorum	8x	1.0	4089	False
